comments,sentiment
"Python ka chilla 2024

You can now register for Python ka chilla 2024.
This is a paid course which you can register and find more information at the following link:",LABEL_0
"After graduating in Physics, I have been unemployed for 2 years. Recently, I started learning Python through Python ka Chilla by Codanics (Baba Ammar). Today is Day 4, and I am learning about Boxplots. This is my first time in any technical or IT field.
My old laptop is very slow, but I am determined to learn my first programming language. My goal is to enter the fields of AI and Data Science. At 25, I am facing unemployment and criticism from society, but I still have hope for better days.
Thank you, Sir, for your sincere efforts. May Allah bless you more and more.",LABEL_1
"??? ??? ?????? ??? ?????? ??? ??? ??? ???  ?? ?? ????? ??? ???? ???? ???? 
?? ??? Ai ????? ??? programming ???? ???? ???? ????? ???? ???? ??? ???????? ?????? ???? ???",LABEL_0
"Sir m india se hu aap ke video dekhta hu to bahut acha lagta h
Sir kash desh ka batwara nhi hua to Aaj america ko piche chhod diya hota hum logo ne 
Love u sir aap ki mehnat ko salam h",LABEL_1
"Time Stamps and Chapters for Python ka chilla:
 What is Python?
 Installation process
 VScode profile and themes
 File and Folder Management
 Miniconda Environment Guide
 GitBash and Miniconda connect
 Jupyter Notebooks
 Python for Data Science
 Important logins for students
 GitHub student developer pack
 Naming Conventions for variables
 Jupyter notebook vs. py files
 Variables in Python
 Types of Variables
 Type casting
 Dynamic Type casting
 Comments in Python
 gitbash in VScode
 Screencast Mode
 Google your errors
 How to google?
 Alternatives to github co-pilots
 Activate github co-pilot in VScode
 Snipping tool for questions
 When to use variables and data structures?
 Data Structures
 Sequences
 Indexing
 Slicing
 Mutable Elements
 Range Functions
 gitbash as default terminal in vscode
 control flow statements
 Audience examples of control flow statements
 if else or elif statements
 conditional and relational operators
 for and while loops
 break continue and pass statements
 infinite loops
 try except and finally
 summary of control flow statements
 .ipynb to pdf file conversion
 functions
 lambda function
 user input functions
 gitbash in vscode
 nine methods for print functions
 tips to improve communciation
 generators
 libraries in python
 social media appearance
 installing important libraries
 PyPI and pip
 Top 5 libraries
 Seventeen important libraries
 use libraries as professionals
 Loading and saving data in python",LABEL_0
Respected Doctor sb you are doing great work specially for Pakistani community. May Almighty Allah bless you.,LABEL_1
"in VBA Excel i learnt to declare variables as following
dim x as integer
dim name as string
dim is_active as boolian 
but in python we dont need to declare variables , its so fantastic language.",LABEL_1
"Watching from India,and I really loved your video.",LABEL_1
"JazakAllah Aammar bhai for such an amazing course.
I have 5 years of experience in JS development, and I really enjoyed this course.
Your desi teaching style is amazing, which also represents your personality and family.",LABEL_1
It's good to see the new video on Python programming.,LABEL_1
"Amazing teacher and way of teaching is awesome. Started learning python as well, working on frontend techologies, salute to you from uk",LABEL_1
yor works are wonderful contributions in reginal languages to support freely for your reginal communities is very highly appreciated.,LABEL_1
Bondal of thanks for giving this gift. It truly means a lot to me!,LABEL_1
Alhamdulilah just covered all till here via practical means & Insha'Allah Will complete it soon.,LABEL_1
That's really helpful to understand python and and data science.,LABEL_1
"mashallah sir, Allah ap ko kush rakhy , ap ka pdhane ka trika aur ap ka content bht acha aur helpful he, Allah ap ki umer daraz kry",LABEL_1
Sir main pehlay pycharm use kr raha thaa lekin aaj is lecture mein aap k recommended software install kr liye hain and now ready to proceed (jizak Allah ),LABEL_0
One of the best chanel to understand,LABEL_1
Last part of video about libraries is very good,LABEL_1
A great work by dr ammar.keep it up please.,LABEL_1
Sir..... No doubt you are a  of Pakistan..... JAZAKALLAH....,LABEL_1
?? ??? ?? ????? ??? ?? ?? ?? ????? ?? ?? ??? ???,LABEL_0
New year gift by  . Thanks Sir.,LABEL_1
Alhamdulilah completed this whole video along with basic practice. Thanks Ammar Sir a lot for this. Will you upload its another part @Codanics ?,LABEL_1
"# Using Break in while loop. the system stops running code at the value which ever is lesser among max_target & order_qty
Tea_cups = 0
Order_qty = 10
max_target = 5
while Tea_cups < max_target:
    Tea_cups += 1
    if Tea_cups == Order_qty:
        print(f""Total Tea_cups served = {Tea_cups} & here your order completed"")
        break
    print(f""Total tea cups served = {Tea_cups} and serving more "")",LABEL_0
Amazing lecture please keep going upload vedio new thecnology,LABEL_1
Your precious contents deserve appreciation,LABEL_1
"At 
Answer: Living room, Bedroom, and kitchen.",LABEL_1
"# Using Continue in while loop. the system stops running code at the value which ever is lesser among max_target & order_qty
Tea_cups = 0
Order_qty = 5
max_target = 3
while Tea_cups < max_target:
    Tea_cups += 1
    if Tea_cups == Order_qty:
        print(f""Total Tea_cups served = {Tea_cups} & here your order completed"")
        continue
    print(f""Total tea cups served = {Tea_cups} and serving more "")",LABEL_0
my best chanal on youtube,LABEL_1
?????? ????? ??? ?? ?? ?? ??????? ?? ???? ????? ??? ??? ??? ???? ????? ?? ????? ??? ???? ?? ??? ??? ??? ??? ??? ????? ?? ?????? ?? ??? ??? ?? ?? ??? ?? ??? ???? ?? ???? ???? ?? ??? ?? ?? ???? ??? ?? ?? ?? ??? ????? ????? ??? ?? ??? ?? ??? ??? ??? ?? 2025 ??? ?? ?? ???? ???? ???? ???? ??? ?? ?? ???? ???????? ?? ???? ???? ?? ??????? ???? ????? ??? ???? ?? ??? ??? ??? ?? ???? ?? ????? ????,LABEL_0
vs code me every thing show in chinies language how we can chane into english kindly help,LABEL_0
"HI, on  in git bash i do not see base environment. At git installation point also faced errors. but Git later installed with recommended setting and git is runing. Can someone tell me why I dont see Base as environment?",LABEL_0
Great teaching method.,LABEL_1
?????? ??,LABEL_0
In 2022 1st time i heard python language,LABEL_1
Assalam o alaikum sir . Sir hum ye course kar ka phyton ma mahir ban sakte hain with hard work. Allah ap se hamasha khosh rahe.,LABEL_1
"Sir jab hoam codanic search krty 
Google ye kehta ha ka ye safe nhi ha",LABEL_0
??? ?????,LABEL_0
can we use google colab,LABEL_0
"Sir, please upload a course on using social media for data science.",LABEL_0
love you sir for such efforts,LABEL_1
Very huge respect sir for your work,LABEL_1
Sir g is playlist mein python ky 2 courses hain in mein farq kia hy,LABEL_0
Thank you so very very very much Sir......sir mojy itni kusi ho rahi h na ya course dakh kr....you are really great person,LABEL_1
Conda concept at 37.27 understood,LABEL_1
Great effort sir thanks.,LABEL_1
Where I can download this?.,LABEL_1
sir picture ki extension PNG ho g,LABEL_1
Is this both python 2023 amd 2024 combined,LABEL_0
Love you sir,LABEL_1
At 45.25 it shows command not found when I enter conda env list in conda bash. Kindly guide plz,LABEL_0
